Propiedad,Year,Month,Total Nights Booked per Property,Avg Lead Time per Property,Total Available Nights,Occupancy Rate (%)
MACORORO 8,2023,11,0.0,,30,0.0
MACORORO 8,2023,12,0.0,,31,0.0
MACORORO 8,2024,1,0.0,,31,0.0
MACORORO 8,2024,2,0.0,,29,0.0
MACORORO 8,2024,3,0.0,,31,0.0
MACORORO 8,2024,4,0.0,,30,0.0
MACORORO 8,2024,5,0.0,,31,0.0
MACORORO 8,2024,6,0.0,,30,0.0
MACORORO 8,2024,7,0.0,,31,0.0
MACORORO 8,2024,8,0.0,,31,0.0
MACORORO 8,2024,9,0.0,,30,0.0
MACORORO 8,2024,10,0.0,,31,0.0
MACORORO 8,2024,11,0.0,,30,0.0
MACORORO 8,2024,12,0.0,,31,0.0
MACORORO 8,2025,1,0.0,,31,0.0
MACORORO 8,2025,2,0.0,,29,0.0
MACORORO 8,2025,3,0.0,,31,0.0
