Propiedad,Número de adultos,Número de niños,Código de confirmación
HOTEL RADISSON - SENIOR SUITE,9,0,5
MACORORO 12 - 12F,74,1,42
MACORORO 15 - 8G,39,4,12
MACORORO 8,23,0,14
SKY ELITE - 115,20,0,12
SKY ELITE - 132,45,0,18
SKY ELITE - 229,57,0,37
SKY ELITE - 320,68,3,43
SKY ELITE - 323,39,2,18
SKY ELITE - 510,13,0,9
SKY ELITE - 524,47,4,26
SKY LUXIA - 513,6,0,3
TORRES SIRARI - 5A,27,1,12
YOU - 316,19,0,13
